country,population
aruba,105845
afghanistan,37172386
angola,30809762
albania,2866376
andorra,77006
united arab emirates,9630959
argentina,44494502
armenia,2951776
american samoa,55465
antigua and barbuda,96286
australia,24982688
austria,8840521
azerbaijan,9939800
burundi,11175378
belgium,11433256
benin,11485048
burkina faso,19751535
bangladesh,161356039
bulgaria,7025037
bahrain,1569439
"bahamas, the",385640
bosnia and herzegovina,3323929
belarus,9483499
belize,383071
bermuda,63973
bolivia,11353142
brazil,209469333
barbados,286641
brunei darussalam,428962
bhutan,754394
botswana,2254126
central african republic,4666377
canada,37057765
switzerland,8513227
channel islands,170499
chile,18729160
china,1392730000
cote d'ivoire,25069229
cameroon,25216237
"congo, dem. rep.",84068091
"congo, rep.",5244363
colombia,49648685
comoros,832322
cabo verde,543767
costa rica,4999441
cuba,11338138
curacao,159800
cayman islands,64174
cyprus,1189265
czech republic,10629928
germany,82905782
djibouti,958920
dominica,71625
denmark,5793636
dominican republic,10627165
algeria,42228429
ecuador,17084357
"egypt, arab rep.",98423595
spain,46796540
estonia,1321977
ethiopia,109224559
finland,5515525
fiji,883483
france,66977107
faroe islands,48497
"micronesia, fed. sts.",112640
gabon,2119275
united kingdom,66460344
georgia,3726549
ghana,29767108
gibraltar,33718
guinea,12414318
"gambia, the",2280102
guinea-bissau,1874309
equatorial guinea,1308974
greece,10731726
grenada,111454
greenland,56025
guatemala,17247807
guam,165768
guyana,779004
"hong kong sar, china",7451000
honduras,9587522
croatia,4087843
haiti,11123176
hungary,9775564
indonesia,267663435
isle of man,84077
india,1352617328
ireland,4867309
"iran, islamic rep.",81800269
iraq,38433600
iceland,352721
israel,8882800
italy,60421760
jamaica,2934855
jordan,9956011
japan,126529100
kazakhstan,18272430
kenya,51393010
cambodia,16249798
kiribati,115847
"korea, rep.",51606633
kuwait,4137309
lebanon,6848925
liberia,4818977
libya,6678567
liechtenstein,37910
sri lanka,21670000
lesotho,2108132
lithuania,2801543
luxembourg,607950
latvia,1927174
morocco,36029138
monaco,38682
moldova,2706049
madagascar,26262368
maldives,515696
mexico,126190788
marshall islands,58413
north macedonia,2082958
mali,19077690
malta,484630
myanmar,53708395
montenegro,622227
mongolia,3170208
northern mariana islands,56882
mozambique,29495962
mauritania,4403319
mauritius,1265303
malawi,18143315
malaysia,31528585
namibia,2448255
new caledonia,284060
niger,22442948
nigeria,195874740
nicaragua,6465513
netherlands,17231624
norway,5311916
nepal,28087871
nauru,12704
new zealand,4841000
oman,4829483
pakistan,212215030
panama,4176873
peru,31989256
philippines,106651922
palau,17907
papua new guinea,8606316
poland,37974750
puerto rico,3195153
portugal,10283822
paraguay,6956071
french polynesia,277679
qatar,2781677
romania,19466145
russian federation,144478050
rwanda,12301939
saudi arabia,33699947
sudan,41801533
senegal,15854360
singapore,5638676
solomon islands,652858
sierra leone,7650154
el salvador,6420744
san marino,33785
somalia,15008154
serbia,6982604
south sudan,10975920
sao tome and principe,211028
suriname,575991
slovak republic,5446771
slovenia,2073894
sweden,10175214
eswatini,1136191
sint maarten (dutch part),40654
seychelles,96762
syrian arab republic,16906283
turks and caicos islands,37665
chad,15477751
togo,7889094
thailand,69428524
tajikistan,9100837
turkmenistan,5850908
timor-leste,1267972
tonga,103197
trinidad and tobago,1389858
tunisia,11565204
turkey,82319724
tuvalu,11508
tanzania,56318348
uganda,42723139
ukraine,44622516
uruguay,3449299
united states,326687501
uzbekistan,32955400
st. vincent and the grenadines,110210
"venezuela, rb",28870195
british virgin islands,29802
virgin islands (u.s.),106977
vietnam,95540395
vanuatu,292680
samoa,196130
kosovo,1845300
"yemen, rep.",28498687
south africa,57779622
zambia,17351822
zimbabwe,14439018
